id,loan_status
58645,0.9977992
58646,0.018769907
58647,0.67731637
58648,0.008900831
58649,0.04020509
58650,0.9709811
58651,0.00047297435
58652,0.0055171433
58653,0.5377181
58654,0.013275317
58655,0.10382858
58656,0.059339114
58657,0.025625763
58658,0.0022071158
58659,0.01072634
58660,0.09856723
58661,0.019027505
58662,0.0008385469
58663,0.03501602
58664,0.0013781617
58665,0.015782412
58666,0.012543975
58667,0.0024156154
58668,0.0090177655
58669,0.004856991
58670,0.00034462576
58671,0.21368814
58672,0.00274205
58673,0.96120226
58674,0.00014288293
58675,0.008445875
58676,0.104733236
58677,0.04268977
58678,0.0031475902
58679,0.36764812
58680,0.9881936
58681,0.026055016
58682,0.001548902
58683,0.0010554962
58684,0.20016332
58685,0.25569138
58686,0.02301773
58687,0.68651164
58688,0.09227583
58689,0.22861117
58690,8.268161e-05
58691,0.013823671
58692,0.015206749
58693,0.010725313
58694,0.25610873
58695,0.9699818
58696,0.010137036
58697,0.03603841
58698,0.010364772
58699,0.0056429463
58700,0.007483145
58701,0.0021871275
58702,0.015569594
58703,0.1337971
58704,0.47812906
58705,0.062863454
58706,0.02539544
58707,0.007905795
58708,0.034438808
58709,0.8581971
58710,0.060346697
58711,0.93565506
58712,0.1264922
58713,0.0009353159
58714,0.012262124
58715,0.0042502177
58716,0.21121755
58717,0.022438813
58718,0.095174946
58719,0.005822948
58720,0.00022381316
58721,0.05983688
58722,0.23430797
58723,0.008184011
58724,0.010543408
58725,0.011825401
58726,0.0103306
58727,0.13279262
58728,0.1323896
58729,0.012028406
58730,0.001805572
58731,0.009056496
58732,0.3048897
58733,0.0001402836
58734,0.014166397
58735,0.010643685
58736,0.050139315
58737,0.030910945
58738,0.99442863
58739,0.4323257
58740,0.88634044
58741,0.05097546
58742,0.0011362128
58743,0.009114804
58744,0.0030466835
58745,0.005520635
58746,0.04773145
58747,0.0018841227
58748,0.023403155
58749,0.008553282
58750,0.0057456987
58751,0.03113059
58752,0.8687901
58753,0.0012548317
58754,0.04202252
58755,0.13227688
58756,0.0034825949
58757,0.04074898
58758,0.0043767127
58759,0.0019224115
58760,0.00055011903
58761,0.00495509
58762,0.002200534
58763,0.9546671
58764,0.00109847
58765,0.011081431
58766,0.0044903536
58767,0.0055677597
58768,0.92654485
58769,0.002899425
58770,0.026104521
58771,0.034593478
58772,0.014231046
58773,0.018860226
58774,0.005518164
58775,0.931282
58776,0.9367208
58777,0.004789393
58778,0.07000342
58779,0.03476407
58780,0.00953747
58781,0.031165313
58782,0.08381936
58783,0.037354235
58784,0.00772002
58785,0.0014329242
58786,0.079895824
58787,0.047071286
58788,0.14282171
58789,0.013733922
58790,0.024754005
58791,0.09590453
58792,0.00020056021
58793,0.03751845
58794,0.005862706
58795,0.011777165
58796,0.01431391
58797,0.01648141
58798,0.076143526
58799,0.7634312
58800,0.04576302
58801,0.0020241202
58802,0.8558378
58803,0.18993504
58804,0.5246152
58805,0.8742778
58806,0.066181354
58807,0.016950252
58808,0.012499348
58809,0.9767581
58810,0.91542155
58811,0.01906955
58812,0.0241883
58813,0.060379874
58814,0.05575834
58815,0.0051603676
58816,0.0072106137
58817,0.0023503532
58818,0.027682459
58819,0.09180004
58820,0.0015590184
58821,0.024413561
58822,0.0014638256
58823,0.1689875
58824,0.05714389
58825,0.0008584023
58826,0.05255805
58827,0.014461315
58828,0.003171724
58829,0.0995754
58830,0.008037783
58831,0.25206637
58832,0.005272626
58833,0.00935749
58834,0.0033378107
58835,0.96446687
58836,0.019394394
58837,0.080034204
58838,0.00255693
58839,0.00050204206
58840,0.0072660684
58841,0.9263493
58842,0.0010395587
58843,0.013250225
58844,0.048530944
58845,0.06669138
58846,0.00010302006
58847,0.9549458
58848,0.12938291
58849,0.12159664
58850,0.010920715
58851,0.069476575
58852,0.43597394
58853,0.010570269
58854,0.9977418
58855,0.43560368
58856,0.0015728367
58857,0.042829037
58858,0.18231991
58859,0.0058562453
58860,0.0023375677
58861,0.018384777
58862,0.10427473
58863,0.21229857
58864,0.007900751
58865,0.21548729
58866,0.00802402
58867,6.407039e-05
58868,0.03758673
58869,0.009983537
58870,0.15164007
58871,0.0011549686
58872,0.018014565
58873,0.008536941
58874,0.9636967
58875,0.0053681214
58876,0.0037479533
58877,0.00025763057
58878,0.030875377
58879,0.005039462
58880,0.004315909
58881,0.02412588
58882,0.0012843926
58883,0.14880046
58884,0.1260986
58885,0.105098635
58886,0.0007255953
58887,0.89190763
58888,0.20798774
58889,0.9856698
58890,0.09351453
58891,0.4819631
58892,0.02125165
58893,0.02293531
58894,0.09285897
58895,0.0004226531
58896,0.0021946086
58897,0.020960977
58898,0.12303398
58899,0.95592403
58900,0.0144622
58901,0.11304452
58902,0.10323223
58903,0.0011613468
58904,0.03358822
58905,0.0041166
58906,0.07909014
58907,0.04089927
58908,0.016482871
58909,0.034227982
58910,0.006502628
58911,0.027402211
58912,0.00048500855
58913,0.14445804
58914,0.01781509
58915,0.01168309
58916,0.017671635
58917,0.037176013
58918,0.009248144
58919,0.0030826442
58920,0.16961403
58921,0.0020132295
58922,0.038024634
58923,0.0016519623
58924,0.030289875
58925,0.016347894
58926,0.1049908
58927,0.02851661
58928,0.08839054
58929,0.0015376983
58930,0.010645854
58931,0.9571823
58932,0.90102774
58933,0.3406655
58934,0.035647377
58935,0.011614028
58936,0.04307981
58937,0.014260736
58938,0.007384585
58939,0.006084027
58940,0.003284645
58941,0.9524515
58942,0.9320853
58943,0.058376424
58944,0.011787031
58945,0.019350419
58946,0.019260505
58947,0.010077364
58948,0.025735756
58949,0.0043280507
58950,0.48110482
58951,0.04888657
58952,0.01449618
58953,0.003196873
58954,0.9966016
58955,0.010353244
58956,0.0011665835
58957,0.9915326
