id,loan_status
58645,0.99845433
58646,0.02352343
58647,0.56816334
58648,0.010675919
58649,0.06542461
58650,0.9489812
58651,0.0006723474
58652,0.005295649
58653,0.49716556
58654,0.015134992
58655,0.096404284
58656,0.07500287
58657,0.020176606
58658,0.0032943536
58659,0.0126182465
58660,0.09516055
58661,0.019329578
58662,0.0016515936
58663,0.0493855
58664,0.0021167647
58665,0.01779292
58666,0.00967429
58667,0.0025809214
58668,0.007593764
58669,0.009468001
58670,0.0004730145
58671,0.23085715
58672,0.0031714195
58673,0.93414885
58674,0.0005174525
58675,0.00808667
58676,0.15055016
58677,0.039365865
58678,0.0038977433
58679,0.29623148
58680,0.98003995
58681,0.0374148
58682,0.0018250525
58683,0.0019762085
58684,0.17051679
58685,0.19484733
58686,0.019624919
58687,0.453822
58688,0.07421071
58689,0.27876374
58690,0.00014896755
58691,0.012953036
58692,0.017288418
58693,0.009326696
58694,0.17896734
58695,0.9114265
58696,0.0131763015
58697,0.031808786
58698,0.009814385
58699,0.0069266134
58700,0.007994466
58701,0.0042569796
58702,0.017787587
58703,0.1552561
58704,0.49955562
58705,0.08370629
58706,0.021555005
58707,0.0095598465
58708,0.031675722
58709,0.8940338
58710,0.074065305
58711,0.95439357
58712,0.11562876
58713,0.0010736545
58714,0.014758078
58715,0.0041993754
58716,0.19980511
58717,0.025900995
58718,0.090772785
58719,0.008688627
58720,0.00042604454
58721,0.07301969
58722,0.2095711
58723,0.012334572
58724,0.013089214
58725,0.018930666
58726,0.013878754
58727,0.13482457
58728,0.14354925
58729,0.008830524
58730,0.00310229
58731,0.009376618
58732,0.2909005
58733,0.00024236267
58734,0.008253651
58735,0.020333156
58736,0.053739782
58737,0.028400809
58738,0.99126476
58739,0.31798473
58740,0.90315634
58741,0.04688938
58742,0.00199887
58743,0.012989898
58744,0.004415151
58745,0.005333751
58746,0.043742295
58747,0.0033249236
58748,0.01627901
58749,0.015053945
58750,0.0067243013
58751,0.039423626
58752,0.8751874
58753,0.0015199077
58754,0.05129303
58755,0.09007921
58756,0.004181132
58757,0.020841975
58758,0.0071745478
58759,0.0019840514
58760,0.00084034784
58761,0.009663629
58762,0.0039400305
58763,0.9574831
58764,0.0018874112
58765,0.015655799
58766,0.006209858
58767,0.012019508
